epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8691,1.26933,2.56236,1.14641,0.13784,0.18521,0.1215,0.0705,1.69669,3.13956,1.44967,0.0677174,0.000326087,0.000326087
2,42.8083,1.20933,1.6079,1.13707,0.42097,0.38254,0.36336,0.22214,1.34309,1.91349,1.25938,0.0347115,0.000653486,0.000653486
3,62.885,1.14481,1.27535,1.09757,0.4641,0.52067,0.5261,0.31442,1.14893,1.31377,1.13605,0.00169952,0.000974884,0.000974884
4,81.5201,1.10333,1.17136,1.08654,0.40163,0.45735,0.42227,0.24787,1.26901,1.76351,1.24013,0.000973,0.000973,0.000973
5,100.202,1.08644,1.12056,1.08003,0.60712,0.6168,0.61707,0.36733,1.18741,1.35162,1.16814,0.000964,0.000964,0.000964
6,120.5,1.06944,1.05691,1.07487,0.76472,0.49786,0.58783,0.36204,1.13858,1.30059,1.14397,0.000955,0.000955,0.000955
7,138.987,1.04057,0.97314,1.05503,0.73593,0.6216,0.68271,0.42632,1.1188,1.18027,1.09973,0.000946,0.000946,0.000946
8,157.512,1.03453,0.97532,1.05021,0.79006,0.62959,0.70674,0.43429,1.10662,1.07145,1.09483,0.000937,0.000937,0.000937
9,177.774,1.03277,0.93496,1.05198,0.67224,0.63706,0.68831,0.41844,1.068,1.06269,1.08768,0.000928,0.000928,0.000928
10,196.076,1.01019,0.91168,1.0366,0.62122,0.59707,0.6603,0.41984,1.07493,1.13443,1.09257,0.000919,0.000919,0.000919
11,214.757,1.0057,0.88663,1.0443,0.74206,0.67506,0.73288,0.46398,1.06277,1.04479,1.07788,0.00091,0.00091,0.00091
12,234.452,0.99734,0.86931,1.03506,0.75805,0.63986,0.7048,0.45022,1.05773,1.03534,1.09588,0.000901,0.000901,0.000901
13,253.389,0.99462,0.84774,1.03202,0.7054,0.61873,0.68421,0.43184,1.08029,1.15279,1.10478,0.000892,0.000892,0.000892
14,271.748,0.99838,0.84215,1.03614,0.66796,0.6516,0.7007,0.45121,1.04063,1.01055,1.08946,0.000883,0.000883,0.000883
15,291.752,0.98006,0.82582,1.0253,0.77684,0.6407,0.74057,0.48219,1.03044,0.96704,1.06888,0.000874,0.000874,0.000874
16,310.31,0.9799,0.79496,1.02481,0.74605,0.6538,0.72754,0.4725,1.02849,0.97126,1.06673,0.000865,0.000865,0.000865
17,328.971,0.96871,0.77907,1.01774,0.74217,0.66059,0.73664,0.48255,1.01348,0.93887,1.06577,0.000856,0.000856,0.000856
18,348.402,0.95395,0.77788,1.01297,0.78428,0.58939,0.68147,0.43281,1.09573,1.12832,1.10776,0.000847,0.000847,0.000847
19,367.561,0.94895,0.76523,1.01622,0.73144,0.69906,0.75464,0.4852,1.00812,0.87769,1.05694,0.000838,0.000838,0.000838
20,386.305,0.95718,0.75231,1.01326,0.78029,0.68274,0.75671,0.48515,1.01014,0.88757,1.05634,0.000829,0.000829,0.000829
21,405.887,0.95718,0.74099,1.01482,0.71805,0.69719,0.74616,0.47771,1.03948,0.93992,1.07334,0.00082,0.00082,0.00082
22,424.817,0.94497,0.72095,1.00852,0.73124,0.70333,0.75324,0.4884,1.02596,0.91914,1.06954,0.000811,0.000811,0.000811
23,443.677,0.93968,0.71857,1.00689,0.74711,0.68466,0.73059,0.46435,1.02276,0.9509,1.05643,0.000802,0.000802,0.000802
24,463.543,0.92802,0.70523,1.00366,0.77016,0.69433,0.76423,0.50767,1.01512,0.85983,1.0686,0.000793,0.000793,0.000793
25,481.731,0.92373,0.69098,1.00315,0.76262,0.65722,0.74936,0.49097,1.00925,0.87981,1.0597,0.000784,0.000784,0.000784
26,500.594,0.93528,0.70232,1.00055,0.68067,0.72582,0.72839,0.47733,0.99704,0.88335,1.05255,0.000775,0.000775,0.000775
27,520.7,0.91894,0.69405,0.99466,0.75167,0.71854,0.78261,0.51134,1.01442,0.9078,1.05436,0.000766,0.000766,0.000766
28,539.649,0.92581,0.69094,0.9981,0.79146,0.6752,0.76101,0.49507,1.01225,0.90018,1.06262,0.000757,0.000757,0.000757
29,558.252,0.9223,0.68081,0.9951,0.82182,0.68044,0.78376,0.50969,1.01047,0.83874,1.05909,0.000748,0.000748,0.000748
30,577.845,0.91018,0.652,0.99337,0.812,0.6907,0.78437,0.51249,0.99039,0.8523,1.05585,0.000739,0.000739,0.000739
31,597.263,0.92368,0.67413,0.99082,0.748,0.70478,0.77469,0.51296,0.99624,0.85687,1.04682,0.00073,0.00073,0.00073
32,615.798,0.90593,0.66411,0.99095,0.76105,0.70145,0.77708,0.51228,0.99355,0.84126,1.04887,0.000721,0.000721,0.000721
33,635.86,0.90143,0.6522,0.98083,0.76268,0.71154,0.78209,0.52646,0.99283,0.86124,1.05396,0.000712,0.000712,0.000712
34,654.581,0.89422,0.64873,0.98869,0.74955,0.70439,0.77825,0.51708,1.00719,0.87322,1.06132,0.000703,0.000703,0.000703
35,672.567,0.89713,0.65002,0.98775,0.79697,0.70002,0.78935,0.52303,0.98068,0.83655,1.04567,0.000694,0.000694,0.000694
36,692.773,0.89149,0.64544,0.99067,0.78023,0.68269,0.77075,0.50346,1.00389,0.85947,1.06412,0.000685,0.000685,0.000685
